concept,category,summary,example,tags
Shackleton's Biscuit,Exchange,"Give something costly, unexpected, and unselfish to build loyalty","Shackleton offering the last biscuit to Frank Wild","exchange,biscuit,costly"
Meeting Before the Meeting,Coalitions,"Build support 1:1 before group settings","Talk to key influencers individually before big decisions","coalitions,prep,influence"
Tit-for-Tat,Might,"Be nice, provocable, forgiving, and clear in repeated interactions","Start cooperatively, punish defection once, then return to cooperation","game theory,might,repeated games"
Give to Get,Exchange,"Give first before asking; create reciprocity debt","Send someone a useful lead or introduction without expecting anything immediately","exchange,reciprocity"
Illusion of Transparency,Ethos,"People cannot read your mind — make expertise visible","Tell your story and bring your accomplishments forward","ethos,visibility"
Structuring Choices,Agency,"Shape the situation so better options become available","Reframe a project so that your preferred option seems safest","agency,framing"
Structural Holes,Networks,"Connect otherwise disconnected groups or people","Introduce a teammate to someone in leadership who can help","networks,bridges"
Risk Reframing,Logos,"When your idea seems risky, reduce perceived uncertainty with data","Provide past success stats before pitching a bold idea","logos,risk"
Emotion Before Logic,Pathos,"Inspire first before explaining; stories increase receptivity","Start a pitch with a short personal story that sets stakes","pathos,stories"
Procedural Fairness,Ethos,"People accept tough decisions if process feels fair","Explain why a decision was made and give people voice","ethos,fairness"
