tactic,score,percentile,description
Allocentrism,3.67,88,Understanding others' motivations
Networks,3.33,92,Leveraging relationships and structural holes
Situation Awareness,3.17,85,Reading the room and context
Pathos,2.83,74,Using emotion and stories to influence
Logos,2.80,70,Using logic and evidence
Agency,2.60,60,Acting proactively and shaping situations
Ethos,2.50,55,Establishing credibility and presence
Coalitions,3.00,82,Building support through alliances
Exchange,2.17,40,Giving first and building reciprocity
Might,2.67,65,Using power, contingent rewards, BATNA
